,ASIN,product,brand,name,date,score,title,comment
0,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,ウォッカ,2017年2月15日,5.0,カフェインレスのミルクティーですが、かなり美味しいです。,現在妊娠中の為購入しました。以前からコーヒーも紅茶も大好きで、どうしても飲みたくて。味は確かに薄いしそこまで甘くないですけど、妊娠中は糖尿病の事も気にしなくてはいけないので丁度良いと思います。自分はとても満足しています。無くなったらまたリピします。
1,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,ヤンチャン,2019年2月12日,3.0,チョット濃いめで飲むと美味しかったです,う〜〜ん、、、コクがないというか、薄いというか。そのため、規定の湯量より下げて割っています。個人的にもちょっと甘め。リピは…しないかなぁ。
2,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,Amazon カスタマー,2018年11月13日,5.0,試してみる価値あるかも,コクや渋味などは普通のミルクティーに劣るが、甘さも比較的抑えめでスッキリしている。妊娠中も安心して飲めるのでこればっかり飲んでます。寒い朝にホットで癒されます。
3,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,くー,2020年7月12日,5.0,カフェインレスだから仕方ないか〜〜,不眠がちな時のリラックスのために。カフェインレスなので就寝前にも飲めます。
4,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,猫taro,2021年5月15日,5.0,さっぱりしてる,飲みやすいです。甘さ控えめです^ ^
5,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,ちいず,2018年3月18日,1.0,就寝前に。,授乳中ということもあり、カフェインレスの紅茶を探して購入してみたが、ミルクの味は最悪。甘すぎるし、紅茶の風味も感じられない。
6,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,つか,2020年3月4日,5.0,飲みやすい,かなりお気に入りです。カフェインレスだし、個包装なので最高です。
7,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,匿名,2020年6月12日,1.0,おいしくない,ミルクティとゆーかスティックミルク？味がしない。赤ちゃん用のしゃばしゃばした感じ。
8,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,イライラ,2019年4月16日,5.0,１日の終わりに。,Good!
9,B00O2RO1XE,日東紅茶 カフェインレスミルクティー スティック 10本入り,日東紅茶,Nam,2020年4月25日,1.0,甘すぎた,とにかく薄い…ノンカフェインだから仕方がないのか。それにしても薄いなと感じて濃いめにいれてみたけど、それでも薄かったです
